ACCESSION_ID	CLADE	PANGO_LINEAGE	VARIANT	LOCATION	SUBMISSION_DATE
EPI_ISL_435147	G	B.1		Abruzzo	2020-05-03
EPI_ISL_435148	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435149	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435150	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435151	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435152	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435153	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435154	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_435155	GR	B.1.1		Abruzzo	2020-05-03
EPI_ISL_436718	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436719	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436720	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436721	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436722	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436723	G	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436724	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436725	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436726	G	B.1		Abruzzo	2020-05-07
EPI_ISL_436727	G	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436728	G	B.1		Abruzzo	2020-05-07
EPI_ISL_436729	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436730	G	B.1		Abruzzo	2020-05-07
EPI_ISL_436731	GR	B.1.1		Abruzzo	2020-05-07
EPI_ISL_436732	G	B.1		Abruzzo	2020-05-07
EPI_ISL_447898	O	None		Sicily 	2020-05-11
EPI_ISL_451298	V	B		Lazio	2020-05-24
EPI_ISL_451299	V	B		Lazio	2020-05-24
EPI_ISL_451300	V	B		Lazio	2020-05-24
EPI_ISL_451301	V	B		Lazio	2020-05-24
EPI_ISL_451302	V	B		Lazio	2020-05-24
EPI_ISL_451303	G	B.1		Lazio	2020-05-24
EPI_ISL_451304	G	B.1		Lazio	2020-05-24
EPI_ISL_451305	G	B.1		Lazio	2020-05-24
EPI_ISL_451306	G	B.1		Lombardy	2020-05-24
EPI_ISL_451307	G	B.1.91		Lombardy	2020-05-24
EPI_ISL_451308	G	B.1		Lombardy	2020-05-24
EPI_ISL_451309	G	B.1		Lombardy	2020-05-24
EPI_ISL_451961	G	B.1		Apulia	2020-05-26
EPI_ISL_451962	G	B.1		Apulia	2020-05-26
EPI_ISL_452181	G	B.1		Veneto 	2020-05-27
EPI_ISL_452182	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452183	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452184	G	B.1		Veneto 	2020-05-27
EPI_ISL_452185	G	B.1		Veneto 	2020-05-27
EPI_ISL_452186	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452187	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452188	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452189	GR	B.1.1		Veneto 	2020-05-27
EPI_ISL_452190	G	B.1		Veneto 	2020-05-27
EPI_ISL_452191	G	B.1		Veneto 	2020-05-27
EPI_ISL_454733	GR	B.1.1		Tuscany 	2020-05-28
EPI_ISL_457699	G	B.1		Emilia-Romagna	2020-06-02
EPI_ISL_457700	G	B.1		Trentino-Alto Adige	2020-06-02
EPI_ISL_457736	GR	B.1.1		Basilicata	2020-06-02
EPI_ISL_457732	GR	B.1.1		Valle D'Aosta	2020-06-02
EPI_ISL_457728	GR	B.1.1		Molise	2020-06-02
EPI_ISL_457724	GR	B.1.1		Valle D'Aosta	2020-06-02
EPI_ISL_457721	GR	B.1.1		Sicily	2020-06-02
EPI_ISL_457749	G	B.1		Abruzzo	2020-06-02
EPI_ISL_457826	G	B.1		Lombardy	2020-06-02
EPI_ISL_457825	GR	B.1.1		Sardinia	2020-06-02
EPI_ISL_458008	O	None		Lazio 	2020-06-02
EPI_ISL_458009	O	None		Lombardy 	2020-06-02
EPI_ISL_458010	O	None		Lombardy 	2020-06-02
EPI_ISL_458011	O	None		Lazio 	2020-06-02
EPI_ISL_458012	O	None		Lazio 	2020-06-02
EPI_ISL_458013	O	None		Lazio 	2020-06-02
EPI_ISL_458014	O	None		Lombardy 	2020-06-02
EPI_ISL_458015	O	None		Lazio 	2020-06-02
EPI_ISL_458084	GR	B.1.1		Sardinia	2020-06-03
EPI_ISL_458085	GR	B.1.1		Sardinia	2020-06-03
EPI_ISL_460079	G	B.1		Lombardy	2020-06-05
EPI_ISL_460080	GR	B.1.1		Lombardy	2020-06-05
EPI_ISL_460081	GR	B.1.1		Lombardy	2020-06-05
EPI_ISL_460082	G	B.1		Lombardy	2020-06-05
EPI_ISL_460083	G	B.1		Lombardy	2020-06-05
EPI_ISL_460084	G	B.1		Lombardy	2020-06-05
EPI_ISL_460085	G	B.1		Lombardy	2020-06-05
EPI_ISL_460086	G	B.1		Lombardy	2020-06-05
EPI_ISL_460087	G	B.1		Lombardy	2020-06-05
EPI_ISL_460088	G	B.1		Lombardy	2020-06-05
EPI_ISL_460089	GR	B.1.1		Lombardy	2020-06-05
EPI_ISL_460090	G	B.1		Lombardy	2020-06-05
EPI_ISL_460091	G	B.1		Lombardy	2020-06-05
EPI_ISL_460092	G	B.1		Lombardy	2020-06-05
EPI_ISL_460093	G	B.1		Lombardy	2020-06-05
EPI_ISL_460094	G	B.1		Lombardy	2020-06-05
EPI_ISL_460095	G	B.1		Lombardy	2020-06-05
EPI_ISL_468914	GR	B.1.1		Apulia 	2020-06-17
EPI_ISL_469016	GR	B.1.1		Apulia	2020-06-17
EPI_ISL_469018	GR	B.1.1		Apulia	2020-06-17
EPI_ISL_469019	G	B.1		Apulia 	2020-06-17
EPI_ISL_469021	G	B.1		Apulia 	2020-06-17
EPI_ISL_469022	G	B.1		Apulia 	2020-06-17
EPI_ISL_469023	GR	B.1.1		Apulia 	2020-06-17
EPI_ISL_469050	GR	B.1.1		Apulia 	2020-06-17
EPI_ISL_469020	GR	B.1.1		Apulia 	2020-06-17
EPI_ISL_477193	G	B.1		Apulia	2020-06-29
EPI_ISL_477194	GR	B.1.1		Apulia	2020-06-29
EPI_ISL_477195	GR	B.1.1.1		Basilicata	2020-06-29
EPI_ISL_477196	G	B.1		Basilicata	2020-06-29
EPI_ISL_477197	GR	B.1.1		Basilicata	2020-06-29
EPI_ISL_477198	GR	B.1.1		Basilicata	2020-06-29
EPI_ISL_477199	G	B.1.179		Basilicata	2020-06-29
EPI_ISL_477200	G	B.1.179		Basilicata	2020-06-29
EPI_ISL_477201	G	B.1		Basilicata	2020-06-29
EPI_ISL_477202	GR	B.1.1		Apulia	2020-06-29
EPI_ISL_477203	GR	B.1.1		Apulia	2020-06-29
EPI_ISL_479616	G	B.1		Friuli Venezia Giulia	2020-06-30
EPI_ISL_479617	G	B.1		Friuli Venezia Giulia	2020-06-30
EPI_ISL_479618	G	B.1		Friuli Venezia Giulia	2020-06-30
EPI_ISL_479619	G	B.1		Friuli Venezia Giulia	2020-06-30
EPI_ISL_479790	G	B.1		Friuli Venezia Giulia	2020-07-01
EPI_ISL_479791	G	B.1		Friuli Venezia Giulia	2020-07-01
EPI_ISL_477204	GR	B.1.1		Campania 	2020-06-29
EPI_ISL_481716	G	None		Campania 	2020-07-03
EPI_ISL_481741	O	None		Campania 	2020-07-03
EPI_ISL_481511	O	None		Campania 	2020-07-03
EPI_ISL_481512	G	None		Campania 	2020-07-03
EPI_ISL_481510	G	None		Campania 	2020-07-03
EPI_ISL_481759	G	None		Campania 	2020-07-03
EPI_ISL_481760	G	None		Campania 	2020-07-03
EPI_ISL_481761	O	None		Campania 	2020-07-03
EPI_ISL_481762	G	None		Campania 	2020-07-03
EPI_ISL_486647	G	B.1		Lombardy	2020-07-10
EPI_ISL_486648	G	B.1		Lombardy	2020-07-10
EPI_ISL_486649	GR	B.1.1		Lombardy	2020-07-10
EPI_ISL_486650	G	B.1		Lombardy	2020-07-10
EPI_ISL_486651	G	B.1		Lombardy	2020-07-10
EPI_ISL_486652	G	B.1		Lombardy	2020-07-10
EPI_ISL_486653	G	B.1		Lombardy	2020-07-10
EPI_ISL_486654	G	B.1		Lombardy	2020-07-10
EPI_ISL_486655	G	B.1		Lombardy	2020-07-10
EPI_ISL_486656	G	B.1		Lombardy	2020-07-10
EPI_ISL_486657	G	B.1		Lombardy	2020-07-10
EPI_ISL_486658	G	B.1		Lombardy	2020-07-10
EPI_ISL_486659	G	B.1		Lombardy	2020-07-10
EPI_ISL_486660	G	B.1		Lombardy	2020-07-10
EPI_ISL_486661	G	B.1		Lombardy	2020-07-10
EPI_ISL_486662	G	B.1		Lombardy	2020-07-10
EPI_ISL_486663	GR	B.1.1		Lombardy	2020-07-10
EPI_ISL_486664	G	B.1		Lombardy	2020-07-10
EPI_ISL_486665	G	B.1		Lombardy	2020-07-10
EPI_ISL_486646	G	B.1		Lombardy	2020-07-10
EPI_ISL_487276	G	B.1		Lombardy 	2020-07-13
EPI_ISL_492184	G	B.1		Campania	2020-07-20
EPI_ISL_492981	GR	B.1.1		Veneto 	2020-07-20
EPI_ISL_492980	GR	B.1.1		Veneto 	2020-07-20
EPI_ISL_492983	G	B.1.225		Veneto 	2020-07-20
EPI_ISL_492982	G	B.1		Veneto 	2020-07-20
EPI_ISL_492985	G	B.1		Veneto 	2020-07-20
EPI_ISL_492984	G	B.1		Veneto 	2020-07-20
EPI_ISL_492987	GR	B.1.1		Veneto 	2020-07-20
EPI_ISL_492986	G	B.1		Veneto 	2020-07-20
EPI_ISL_493328	GH	B.1.356		Lazio	2020-07-21
EPI_ISL_493329	G	B.1		Lazio	2020-07-21
EPI_ISL_493330	GR	B.1.1.202		Lazio	2020-07-21
EPI_ISL_493331	GR	B.1.1		Lazio	2020-07-21
EPI_ISL_493332	G	B.1		Campania 	2020-07-21
EPI_ISL_493333	G	B.1		Campania 	2020-07-21
EPI_ISL_493213	G	B.1.69		Campania	2020-07-21
EPI_ISL_493197	G	B.1.485		Campania	2020-07-21
EPI_ISL_494757	G	B.1		Campania	2020-07-22
EPI_ISL_494759	G	B.1		Campania	2020-07-22
EPI_ISL_494756	G	B.1		Campania	2020-07-22
EPI_ISL_494761	GR	B.1.1		Campania	2020-07-22
EPI_ISL_494771	G	B.1		Campania	2020-07-22
EPI_ISL_494762	G	B.1		Campania	2020-07-22
EPI_ISL_494774	GR	B.1.1		Campania	2020-07-22
EPI_ISL_494763	G	B.1		Campania	2020-07-22
EPI_ISL_494775	G	B.1		Campania	2020-07-22
EPI_ISL_496482	G	B.1		Veneto 	2020-07-24
EPI_ISL_494776	G	B.1		Campania	2020-07-22
EPI_ISL_498558	G	B.1		Friuli Venezia Giulia	2020-07-27
EPI_ISL_498559	GR	B.1.1.70		Friuli Venezia Giulia	2020-07-27
EPI_ISL_498561	GR	B.1.1.70		Friuli Venezia Giulia	2020-07-27
EPI_ISL_498560	GR	B.1.1.70		Friuli Venezia Giulia	2020-07-27
EPI_ISL_498563	GR	C.35		Friuli Venezia Giulia	2020-07-27
EPI_ISL_498562	GR	B.1.1.47		Friuli Venezia Giulia	2020-07-27
EPI_ISL_514432	G	B.1		Campania 	2020-08-17
EPI_ISL_514751	G	B.1		Campania 	2020-08-17
EPI_ISL_516079	G	B.1		Marche 	2020-08-16
EPI_ISL_516080	G	B.1		Marche 	2020-08-16
EPI_ISL_516081	G	B.1		Marche 	2020-08-16
EPI_ISL_516082	G	B.1		Marche 	2020-08-16
EPI_ISL_516083	G	B.1		Marche 	2020-08-16
EPI_ISL_516084	G	B.1		Marche 	2020-08-16
EPI_ISL_516085	G	B.1		Marche 	2020-08-16
EPI_ISL_516086	G	B.1		Marche 	2020-08-16
EPI_ISL_516087	G	B.1		Marche 	2020-08-16
EPI_ISL_516088	G	B.1		Marche 	2020-08-16
EPI_ISL_522855	G	B.1		Veneto 	2020-08-26
EPI_ISL_522856	G	B.1		Veneto 	2020-08-26
EPI_ISL_522857	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522858	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522859	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522860	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522861	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522862	G	B.1		Veneto 	2020-08-26
EPI_ISL_522863	G	B.1		Veneto 	2020-08-26
EPI_ISL_522864	G	B.1		Veneto 	2020-08-26
EPI_ISL_522865	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522866	G	B.1		Veneto 	2020-08-26
EPI_ISL_522867	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_522868	GR	B.1.1		Veneto 	2020-08-26
EPI_ISL_525495	G	B.1		Friuli Venezia Giulia	2020-08-31
EPI_ISL_525496	G	B.1		Friuli Venezia Giulia	2020-08-31
EPI_ISL_525553	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525554	G	B.1		Apulia 	2020-08-31
EPI_ISL_525555	G	B.1		Apulia 	2020-08-31
EPI_ISL_525556	G	B.1		Apulia 	2020-08-31
EPI_ISL_525557	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525558	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525559	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525560	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525561	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525562	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525563	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525564	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525565	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525566	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525567	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525568	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525569	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525570	GR	B.1.1		Apulia 	2020-08-31
EPI_ISL_525571	G	B.1		Apulia 	2020-08-31
EPI_ISL_525572	G	B.1		Apulia 	2020-08-31
EPI_ISL_525573	GR	B.1.1		Basilicata 	2020-08-31
EPI_ISL_525574	GR	B.1.1.1		Basilicata 	2020-08-31
EPI_ISL_527380	GR	B.1.1		Apulia 	2020-09-03
EPI_ISL_528919	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528920	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528921	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528922	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528923	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528924	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528925	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528926	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528927	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528928	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528929	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528934	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528935	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528936	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528937	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528938	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528939	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528940	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528941	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528942	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528943	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528944	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528945	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528946	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528947	O	B.1.1		Lombardy	2020-09-09
EPI_ISL_528948	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528949	GR	B.1.1		Lombardy	2020-09-09
EPI_ISL_528990	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528991	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528992	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528993	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_528994	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528995	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528996	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528997	G	B.1		Abruzzo	2020-09-09
EPI_ISL_528998	GH	B.1		Abruzzo	2020-09-09
EPI_ISL_528999	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529000	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529001	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529002	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529003	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529004	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529005	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529006	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529007	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529008	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529009	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529010	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529011	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529012	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529013	GR	C.36		Abruzzo	2020-09-09
EPI_ISL_529014	GR	B.1.1.1		Abruzzo	2020-09-09
EPI_ISL_529015	GR	B.1.1.1		Abruzzo	2020-09-09
EPI_ISL_529016	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529017	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529018	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529019	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529020	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529021	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_529022	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529023	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529024	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529025	G	B.1		Abruzzo	2020-09-09
EPI_ISL_529026	GR	B.1.1		Abruzzo	2020-09-09
EPI_ISL_542098	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542099	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542100	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542101	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542102	G	B.1		Lombardy	2020-09-23
EPI_ISL_542103	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542104	G	B.1		Lombardy	2020-09-23
EPI_ISL_542105	G	B.1		Lombardy	2020-09-23
EPI_ISL_542106	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542107	G	B.1		Lombardy	2020-09-23
EPI_ISL_542108	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542109	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542110	GR	B.1.1.61		Lombardy	2020-09-23
EPI_ISL_542111	G	B.1		Lombardy	2020-09-23
EPI_ISL_542112	G	B.1		Lombardy	2020-09-23
EPI_ISL_542113	G	B.1		Lombardy	2020-09-23
EPI_ISL_542114	G	B.1		Lombardy	2020-09-23
EPI_ISL_542115	G	B.1		Lombardy	2020-09-23
EPI_ISL_542116	G	B.1.91		Lombardy	2020-09-23
EPI_ISL_542117	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542118	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542119	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542120	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542121	G	B.1		Lombardy	2020-09-23
EPI_ISL_542122	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542123	G	B.1		Lombardy	2020-09-23
EPI_ISL_542124	G	B.1		Lombardy	2020-09-23
EPI_ISL_542125	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542126	G	B.1		Lombardy	2020-09-23
EPI_ISL_542127	G	B.1		Lombardy	2020-09-23
EPI_ISL_542128	G	B.1		Lombardy	2020-09-23
EPI_ISL_542129	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542130	G	B.1		Lombardy	2020-09-23
EPI_ISL_542131	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542132	G	B.1		Lombardy	2020-09-23
EPI_ISL_542133	G	B.1		Lombardy	2020-09-23
EPI_ISL_542134	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542135	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542136	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542137	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542138	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542139	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542140	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542141	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542142	G	B.1		Lombardy	2020-09-23
EPI_ISL_542143	G	B.1		Lombardy	2020-09-23
EPI_ISL_542144	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542145	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542146	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542147	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542148	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542149	G	B.1		Lombardy	2020-09-23
EPI_ISL_542150	G	B.1		Lombardy	2020-09-23
EPI_ISL_542151	G	B.1		Lombardy	2020-09-23
EPI_ISL_542152	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542153	G	B.1		Lombardy	2020-09-23
EPI_ISL_542154	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542155	G	B.1		Lombardy	2020-09-23
EPI_ISL_542156	GR	B.1.1.1		Lombardy	2020-09-23
EPI_ISL_542157	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542158	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542159	G	B.1		Lombardy	2020-09-23
EPI_ISL_542160	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542161	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542162	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542163	G	B.1		Lombardy	2020-09-23
EPI_ISL_542164	G	B.1		Lombardy	2020-09-23
EPI_ISL_542165	G	B.1		Lombardy	2020-09-23
EPI_ISL_542166	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542167	G	B.1		Lombardy	2020-09-23
EPI_ISL_542168	G	B.1		Lombardy	2020-09-23
EPI_ISL_542169	G	B.1		Lombardy	2020-09-23
EPI_ISL_542170	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542171	G	B.1		Lombardy	2020-09-23
EPI_ISL_542172	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542173	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542174	G	B.1		Lombardy	2020-09-23
EPI_ISL_542175	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542176	G	B.1		Lombardy	2020-09-23
EPI_ISL_542177	G	B.1		Lombardy	2020-09-23
EPI_ISL_542178	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542179	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542180	GR	B.1.1		Lombardy	2020-09-23
EPI_ISL_542181	G	B.1		Lombardy	2020-09-23
